image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
413,14,14,14,1.0,1.0,1.0,1.0,10,10,6,0.6,0.6,0.6,0.4286,24,24,20,0.8333,0.8333,0.8333,0.7143
416,21,21,21,1.0,1.0,1.0,1.0,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,33,0.825,0.825,0.825,0.7021
418,20,20,15,0.75,0.75,0.75,0.6,19,19,10,0.5263,0.5263,0.5263,0.3571,39,39,25,0.641,0.641,0.641,0.4717
428,27,26,18,0.6923,0.6667,0.6792,0.5143,26,27,16,0.5926,0.6154,0.6038,0.4324,53,53,34,0.6415,0.6415,0.6415,0.4722
429,20,23,13,0.5652,0.65,0.6047,0.4333,19,22,10,0.4545,0.5263,0.4878,0.3226,39,45,23,0.5111,0.5897,0.5476,0.377
432,23,23,12,0.5217,0.5217,0.5217,0.3529,20,20,11,0.55,0.55,0.55,0.3793,43,43,23,0.5349,0.5349,0.5349,0.3651
433,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,37,0.8043,0.8043,0.8043,0.6727
444,15,15,15,1.0,1.0,1.0,1.0,13,13,8,0.6154,0.6154,0.6154,0.4444,28,28,23,0.8214,0.8214,0.8214,0.697
446,15,15,15,1.0,1.0,1.0,1.0,13,13,8,0.6154,0.6154,0.6154,0.4444,28,28,23,0.8214,0.8214,0.8214,0.697
457,24,24,24,1.0,1.0,1.0,1.0,23,23,14,0.6087,0.6087,0.6087,0.4375,47,47,38,0.8085,0.8085,0.8085,0.6786
470,21,21,21,1.0,1.0,1.0,1.0,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,33,0.825,0.825,0.825,0.7021
497,22,24,18,0.75,0.8182,0.7826,0.6429,21,22,10,0.4545,0.4762,0.4651,0.303,43,46,28,0.6087,0.6512,0.6292,0.459
498,14,14,14,1.0,1.0,1.0,1.0,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,22,0.8462,0.8462,0.8462,0.7333
520,25,23,15,0.6522,0.6,0.625,0.4545,23,22,13,0.5909,0.5652,0.5778,0.4062,48,45,28,0.6222,0.5833,0.6022,0.4308
521,29,29,18,0.6207,0.6207,0.6207,0.45,28,28,15,0.5357,0.5357,0.5357,0.3659,57,57,33,0.5789,0.5789,0.5789,0.4074
525,12,12,11,0.9167,0.9167,0.9167,0.8462,10,10,6,0.6,0.6,0.6,0.4286,22,22,17,0.7727,0.7727,0.7727,0.6296
